soil_quality,rainfall,fertilizer,temperature,humidity,yield
65,201,38,39.109247760709515,81.9770041580527,50.9009548760242
65,51,80,21.703024817018044,42.783483235215876,33.28196665151893
56,185,178,35.423698670706486,33.89060577893689,47.58735391551807
70,166,194,30.77230787622354,44.9838470669673,50.9321008377966
58,202,165,21.228102880950694,79.65352236020921,52.66554762689467
83,170,86,20.034076560821124,65.23124180967187,54.9350177363341
59,271,158,38.711072770542586,65.16446216025244,43.905432480772134
98,81,141,34.84346808471088,30.03444070005013,31.22559327998498
62,105,135,33.7287248707883,58.32907283253667,26.022341278223333
64,143,108,28.77113061198444,45.93708238207416,40.14834616853088
67,298,125,24.772275734219548,50.1725407329837,24.142289259529747
76,56,24,33.59726149461148,65.92119826008728,56.42895915926806
51,225,190,32.16602137234199,82.46038650752129,37.699209517718955
87,137,99,34.526843896966724,40.89941435027266,54.91936582842356
40,231,183,27.315850370005244,76.09332142011283,48.37081534555854
41,240,144,39.73847521026381,32.934130646306244,54.28870251327418
49,250,155,21.340173108570657,49.603749954756566,55.35832357018261
73,257,98,21.59403234072428,43.13476138079109,22.13173993649538
71,179,158,38.3375169516123,84.93503902037732,49.010313913366545
64,84,125,32.95412869838087,40.67987438195097,29.0619078566909
49,147,145,26.52668136364209,64.71791508786069,59.5718762244756
94,71,196,35.239055154012526,39.8869899453144,51.136118965038634
89,260,29,29.055467757060796,58.4090229166008,20.150600112128956
40,241,91,20.42243017615464,54.803994081904854,57.096652872088136
71,108,126,33.02207338839915,32.48143153403087,31.692236088047085
76,226,76,24.86223874183046,79.55205562203625,36.666143985457985
51,101,192,22.306702332201354,76.80676290699861,44.491423157114696
88,198,71,24.505463649988084,46.671502324068314,56.65239176176874
96,189,27,29.523157622584968,66.83970821375718,57.09306493016243
90,60,100,20.997128625664804,51.7601748528467,42.53887050922957
57,293,119,37.66304773559095,76.15362859679729,32.668979832457936
69,231,65,31.19836033138724,71.54906737697145,31.167597668224293
52,260,94,25.859923602308314,35.428018867197714,34.57588395113916
93,171,159,33.74009696177366,80.65128992219178,27.220547341560433
42,247,17,36.08472993959883,40.76556630570252,46.793320732803835
60,283,148,32.2784925596696,40.44658214792362,41.112082048251494
81,63,116,24.04989363821047,74.02481248917309,50.938588010792
53,82,21,22.205768402928875,40.99506368344572,23.764452675577306
79,288,185,37.19799394066773,37.34381721248571,35.996232973606716
49,151,112,24.69374827103481,50.13496963370886,29.59451472803565
41,126,72,20.401648613549956,80.3227488481906,41.407448250376206
99,297,36,32.858042163085045,40.60852549395128,38.72975934714452
84,75,44,23.05770659728626,50.34437958706921,37.98261804756116
76,191,139,39.819396395291506,47.17523703463539,32.6261452777577
50,286,145,37.394616634788235,51.36365188319316,49.073822978965076
95,265,29,32.16891452002436,72.85630766146174,39.262708170470276
40,225,17,36.67731285217087,54.32793485906329,28.089751192527714
65,114,77,29.410714015373927,75.57460088045056,41.89789891599173
81,95,168,35.76972488924871,68.42418829490205,43.866886241575756
98,176,169,32.93067104794302,51.66595092653504,20.855187090613295
99,286,150,20.57289295939312,55.93444689643383,28.15114643394054
52,232,95,38.975153351056846,72.21736272351018,29.696156405091294
67,143,35,37.21839156393374,62.08532479069381,29.923006486525257
75,123,90,39.068147811864435,82.1004096856432,29.55383481440123
60,177,166,34.62731869121632,85.99100510860603,30.865646862676634
